IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,ObjectId
11,11001,A15-A34,M,2,0,1585353600000,483098
11,11001,A15-A34,W,4,0,1585353600000,483118
11,11001,A35-A59,M,2,0,1585353600000,483137
11,11001,A35-A59,W,1,0,1585353600000,483156
11,11003,A15-A34,M,2,0,1585353600000,483272
11,11003,A15-A34,W,2,0,1585353600000,483291
11,11003,A35-A59,M,2,0,1585353600000,483309
11,11003,A35-A59,W,4,0,1585353600000,483328
11,11003,A60-A79,M,1,0,1585353600000,483337
11,11003,A80+,W,1,0,1585353600000,483346
11,11004,A05-A14,W,1,0,1585353600000,483356
11,11004,A15-A34,M,6,0,1585353600000,483372
11,11004,A15-A34,W,4,0,1585353600000,483390
11,11004,A35-A59,M,4,0,1585353600000,483412
11,11004,A35-A59,W,3,0,1585353600000,483429
11,11004,A60-A79,M,2,0,1585353600000,483442
11,11004,A60-A79,W,1,0,1585353600000,483453
11,11005,A05-A14,W,1,0,1585353600000,483461
11,11005,A15-A34,M,3,0,1585353600000,483471
11,11005,A15-A34,W,1,0,1585353600000,483481
11,11005,A35-A59,M,3,0,1585353600000,483492
11,11005,A35-A59,W,4,0,1585353600000,483503
11,11005,A60-A79,M,1,0,1585353600000,483509
11,11006,A15-A34,M,9,0,1585353600000,483531
11,11006,A15-A34,W,3,0,1585353600000,483545
11,11006,A35-A59,M,7,0,1585353600000,483562
11,11006,A35-A59,W,11,0,1585353600000,483577
11,11006,A60-A79,M,3,0,1585353600000,483587
11,11006,A60-A79,W,3,0,1585353600000,483599
11,11007,A15-A34,W,2,0,1585353600000,483638
11,11007,A35-A59,M,1,0,1585353600000,483655
11,11007,A35-A59,W,2,0,1585353600000,483672
11,11007,A60-A79,M,1,0,1585353600000,483681
11,11007,A60-A79,W,2,0,1585353600000,483691
11,11007,A80+,M,1,1,1585353600000,483696
11,11007,A80+,W,1,0,1585353600000,483698
11,11008,A05-A14,W,3,0,1585353600000,483706
11,11008,A15-A34,M,8,0,1585353600000,483718
11,11008,A15-A34,W,6,0,1585353600000,483731
11,11008,A35-A59,M,9,0,1585353600000,483748
11,11008,A35-A59,W,6,0,1585353600000,483762
11,11008,A60-A79,M,4,0,1585353600000,483772
11,11008,A60-A79,W,3,0,1585353600000,483784
11,11009,A05-A14,M,1,0,1585353600000,483794
11,11009,A15-A34,M,1,0,1585353600000,483807
11,11009,A15-A34,W,1,0,1585353600000,483820
11,11009,A35-A59,M,1,0,1585353600000,483834
11,11009,A35-A59,W,1,0,1585353600000,483844
11,11010,A15-A34,M,1,0,1585353600000,483866
11,11010,A15-A34,W,3,0,1585353600000,483871
